Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
NO AD PADEL CLUB,Zac Croix Blandin,9 Rue des Terres,Padel club,Europe/Paris,+33 6 66 44 63 49,"06 66 44 63 49, +33 6 66 44 63 49",NO AD PADEL CLUB (Owner),contact@noadpadelclub.fr,"facebook: https://www.facebook.com/noadpadelcub
instagram: https://www.instagram.com/noad_padelclub
linkedin: https://www.linkedin.com/company/no-ad-padel-club",37,4.9,https://www.google.com/maps?cid=3425033222218688968,49.2406779,4.0910118,https://noadpadelclub.fr/,noadpadelclub.fr,https://lh3.googleusercontent.com/p/AF1QipN5vRwrek4e_f6LtQCH7SVFrsEeE8xUNIF7a6ys,ChIJIRknfd936UcRyKlBqpEpiC8,padel
4PADEL Montreuil,156 Rue de la Nouvelle France,93100 Montreuil,Sports complex,Europe/Paris,+33 1 80 60 95 72,"01 80 60 95 72, +33 1 80 60 95 72",4PADEL Montreuil (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",105,4.8,https://www.google.com/maps?cid=5367555117255177361,48.8606652,2.4650138,https://4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipM5zkJpy8M3S0DAQyxVLdAJ-eMs5IVmFSssvmRe,ChIJ0cyr7xwT5kcRkTRTzPBifUo,padel
PADELMAX95,11 Rue Marguerite Aumerle Batiment D - Cellule 3-4,95340 Persan,Padel club,Europe/Paris,+33 9 75 34 71 39,"09 75 34 71 39, +33 9 75 34 71 39",PADELMAX95 (Owner),padelmax95@gmail.com,,61,4.9,https://www.google.com/maps?cid=17761694297708781743,49.1508634,2.2574258,https://www.padelmax95.fr/,padelmax95.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwsamuHAt99bi6qiXJxBrJaD7jbbmRfyHOA-6mDOYOvheXBE7JPwXnYB3TzD7L6dHWynQiYrjzjANvbRdxGmGlvrR6CMVxPIdxrzDWwW9a97XzlmIHIuqViy8tCkiuhauUKt2IFCw,ChIJ18Ld3w5b5kcRr2ADuNs2fvY,padel
Padel Football Club,15 Rue Denis Papin,95250 Beauchamp,Padel court,Europe/Paris,+33 1 39 78 64 03,"01 39 78 64 03, +33 1 39 78 64 03",Padel Football Club (Owner),,,76,4.6,https://www.google.com/maps?cid=12147014707679406217,49.0175597,2.1775182,http://padelfootball.club/,padelfootball.club,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_QMK93y7K90kfEvkK8sltP708XaJggMrjpuweYq6XLfmGQ93eL4s5T_khe020Bt_DZgN4jWu1b9L0XYzEycqu-89U0sVPkH006_qnEOgKScHivOpZ8tAFpcWmbZslXNJ1AEBQ,ChIJ62K5YQBh5kcRiSit3ITdkqg,padel
PADEL AC Roissy,58 Rue de la Belle Étoile,93290 Tremblay-en-France,Sports club,Europe/Paris,+33 1 48 63 01 48,"01 48 63 01 48, +33 1 48 63 01 48",PADEL AC Roissy (Owner),,,15,4.7,https://www.google.com/maps?cid=17166892393217617241,48.9787442,2.5010171,http://www.padelac.fr/,padelac.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwbrZQbbquOE1kd_DaSrt9O-pdQZ-YC3ntahl8nWfjNZkBcZ7bRj0SXE91Rlhud-flvWRYsV-3YyixxC-YjnSK0YpCRaUp2fvCM9VRw-SxNYcHiX1KPu_J5bB-eI4ozyJkuYwnVZUBnMwnV,ChIJlyTbEwAV5kcRWW0Xc60NPe4,padel
Casa Padel DOS,19 Rue du Jardin Modèle,92600 Asnières-sur-Seine,Sports club,Europe/Paris,+33 1 85 78 19 79,"01 85 78 19 79, +33 1 85 78 19 79",Casa Padel DOS (Owner),"saint-denis@casapadel.fr,asnieres@casapadel.fr,kingersheim@casapadel.fr,toulouse-st@casapadel.fr,vendenheim@casapadel.fr,commercial.saint-denis@casapadel.fr","facebook: https://www.facebook.com/centrecasapadel
instagram: https://www.instagram.com/casapadelsaintdenis,https://www.instagram.com/casapadelasnieres,https://www.instagram.com/casapadelkingersheim,https://www.instagram.com/casapadeltoulouse,https://www.instagram.com/casapadelvendenheim,https://www.instagram.com/groupecasapadel
linkedin: https://www.linkedin.com/company/casa-padel-uno
youtube: https://www.youtube.com/channel/UCew-Fy7mrGmNiWQ0wi-IBvQ",74,3.4,https://www.google.com/maps?cid=899185646279588636,48.9144067,2.3056859,https://casapadel.fr/,casapadel.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzP9zfbFYlM2vgyiQouAyCn1_bO6KBC8kA_dErERaPorYTicfUyz5X8OLN2dIvN5yRjrQH9KmU-HG2mfRThy-rdc1pJQ72-ZOK30lAVgcU-yCbC9vx93ZWyIwiVEaae4vc_4SPDeg,ChIJS6HYUQ1v5kcRHPufyZSMegw,padel
PadelShot Saint-Quentin-en-Yvelines,7 Av. Roger Hennequin,78190 Trappes,Padel club,Europe/Paris,+33 6 89 16 73 70,"06 89 16 73 70, +33 6 89 16 73 70",PadelShot Saint-Quentin-en-Yvelines (Owner),"sqy@padelshot.fr,pierre.clemot@padelshot.fr","instagram: https://www.instagram.com/padelshot_saint_quentin,https://www.instagram.com/p
linkedin: https://www.linkedin.com/company/padelshot",11,5,https://www.google.com/maps?cid=17965323208298669853,48.7691073,1.9988067,https://saint-quentin-en-yvelines.padelshot.fr/,padelshot.fr,https://lh3.googleusercontent.com/p/AF1QipN4IN1LOlIaIBg2e1poCCJiGW2Sl9g_cWqHEAI,ChIJ1zyx9f2D5kcRHSe5CUamUfk,padel
Make it Padel,970 Rue de la Bergeresse,45160 Olivet,"Padel club, Bar, Snack bar",Europe/Paris,+33 2 38 47 71 55,"02 38 47 71 55, +33 2 38 47 71 55",Make it Padel (Owner),contact@makeitpadel.fr,"facebook: https://www.facebook.com/makeitpadel%20
instagram: https://www.instagram.com/makeitpadel
linkedin: https://www.linkedin.com/company/makeitpadel",53,5,https://www.google.com/maps?cid=9927319231913816799,47.8474537,1.9128332,https://www.makeitpadel.fr/,makeitpadel.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw0DRMea91N9ZcnzwhFYUHa4GO4pj71kP4_2_soOvzX_bewyPE8L35lPUGwM7Gy9X99GbnO5W5ghidlLEOsivPzLjfbErm7WNVB2jXhIAB3p7vPzW6D73nJ1cBFIyf1tx2TQ1YV30umMTw,ChIJxeDySvvl5EcR33Ighj7sxIk,padel
4PADEL Marville - La Courneuve,51 Av. Roger Salengro,93120 La Courneuve,Padel club,Europe/Paris,+33 1 70 32 29 35,"01 70 32 29 35, +33 1 70 32 29 35",4PADEL Marville - La Courneuve (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",88,4.1,https://www.google.com/maps?cid=8668030443788466498,48.9365158,2.3866021,http://www.4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipMLD-buGYtPqpNYWj_NO9rZWjxDQXcA0ySirSdD,ChIJ29_2MDNr5kcRQnlIcMMHS3g,padel
Padelshot Caen Mondeville Padel Et Badminton Bar Restaurant,6 Rue des Frères Lumière,14120 Mondeville,"Sports complex, Badminton court, Bar, Coworking space, Padel court, Pool billard club, Restaurant, Seminary, Table tennis facility",Europe/Paris,+33 7 68 14 85 69,"07 68 14 85 69, +33 7 68 14 85 69",Padelshot Caen Mondeville Padel Et Badminton Bar Restaurant (Owner),"caenmondeville@padelshot.fr,nathan.deslandes@padelshot.fr,nelson.petit@padelshot.fr","facebook: https://www.facebook.com/padelshotcaenmondeville
instagram: https://www.instagram.com/padelshot_caen_mondeville,https://www.instagram.com/p
linkedin: https://www.linkedin.com/company/padelshot",134,4.8,https://www.google.com/maps?cid=18280264939561820704,49.1568298,-0.3091582,http://www.caenmondeville.padelshot.fr/,caenmondeville.padelshot.fr,https://lh3.googleusercontent.com/p/AF1QipO3-ugJ-Ud0GJK6W7oMOYfHw5wBbscfA5l2D2Cm,ChIJa40sxGppCkgRICKcChyMsP0,padel
4PADEL Créteil,1 Rue le Corbusier,94000 Créteil,"Padel club, Sports club",Europe/Paris,+33 1 80 51 41 38,"01 80 51 41 38, +33 1 80 51 41 38",4PADEL Créteil (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",57,4.4,https://www.google.com/maps?cid=2740917207361165073,48.7641541,2.4706335,https://4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipMIt6lyoHLt5ZZfusEmhWk6XJ2AomN6hd0k1h3x,ChIJGxrfs4gL5kcREZeEl62xCSY,padel
Urban Padel - Club de Padel Puteaux-Ile,1 All. des Sports,92800 Puteaux,Padel court,Europe/Paris,+33 1 79 36 38 50,"01 79 36 38 50, +33 1 79 36 38 50",Urban Padel - Club de Padel Puteaux-Ile (Owner),iledeputeaux@urbanpadel.fr,"facebook: https://www.facebook.com/UrbanPadel-112095204880843
instagram: https://www.instagram.com/urbanpadelfr",32,4.2,https://www.google.com/maps?cid=430826468097112954,48.8762619,2.243941,https://www.urbanpadel.fr/les-centres/ile-puteaux/,urbanpadel.fr,https://lh3.googleusercontent.com/p/AF1QipNGBIc1lygRuSM_g57dAEABUpDhwv2tySIVmFbH,ChIJ_dGMMjZl5kcRervD3mOa-gU,padel
Moret Padel,5 Rue des Vignes,77250 Moret-Loing-et-Orvanne,Sports club,Europe/Paris,+33 7 56 97 51 36,"07 56 97 51 36, +33 7 56 97 51 36",Moret Padel (Owner),"utilisateur@domaine.com,contact@citypadel.fr","facebook: https://www.facebook.com/p/MORET-PADEL-61573941748072
instagram: https://www.instagram.com/moretpadel
tiktok: https://www.tiktok.com/@city.padel1",24,5,https://www.google.com/maps?cid=4667840861737570141,48.3701163,2.8395262,https://moret-padel.fr/,moret-padel.fr,https://lh3.googleusercontent.com/p/AF1QipN36FKbNk3AikiV8sT_AAE1K30NvXbOR_A_I958,ChIJkxQgAABf70cRXc_rT4iAx0A,padel
Royal Padel Club,Trianon Palace,1 Bd de la Reine,Padel court,Europe/Paris,+33 7 56 81 10 11,"07 56 81 10 11, +33 7 56 81 10 11",Royal Padel Club (Owner),,,12,4.3,https://www.google.com/maps?cid=13535052886618268337,48.8093542,2.1314021,https://royalpadelclub.doinsport.club/,royalpadelclub.doinsport.club,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy12fctTlLbFUa9WS_9oeHB1NuekiZIt8necwZoIepkgJUgQvtHkIP8lZZ_gHYuDiZApBHkXpIHU_iuUWg-klq2JwNOgarIgMCQzhNHdhq_GjMTCVw5wB955GIVSvBlkSktctbI,ChIJWVIHPSd95kcRseIBe-Mq1rs,padel
Padel 95,29 Chau. Jules César,95300 Pontoise,Sports complex,Europe/Paris,+33 1 30 30 12 60,"01 30 30 12 60, +33 1 30 30 12 60",Padel 95 (Owner),contact@padel95.fr,"facebook: https://www.facebook.com/padel95
instagram: https://www.instagram.com/padel_95,https://www.instagram.com/p",67,4.6,https://www.google.com/maps?cid=14826221242945316255,49.0477337,2.0788481,https://padel95.fr/,padel95.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyofnTYjKxZ5aOmVlh0F_dEMJ8QekJ5cpHcz3wR8-7-HGx2IMo1sMRfq59JctMBBsDnuL5tYCCYKFeGy2T4eMYQ00hdoUxvsonU2WnNLFjxQfnDvVtUJh6dOoIRMx6z4XCXKYVHLUmtJtW,ChIJjz8ip-715kcRnyUb86pRwc0,padel
R Padel,377 Av. du Président Wilson,93210 Saint-Denis,Padel club,Europe/Paris,+33 6 18 82 60 03,"06 18 82 60 03, +33 6 18 82 60 03",R Padel (Owner),utilisateur@domaine.com,instagram: https://www.instagram.com/rpadelparis,5,5,https://www.google.com/maps?cid=14559514565164947459,48.9253216,2.3562911,https://www.rpadel.com/,rpadel.com,https://lh3.googleusercontent.com/p/AF1QipM_jSe-Fr0OG_eYUv5HLJjsgy9dlbKT7aNzh95K,ChIJAUE7FXFv5kcRA1jIflvJDco,padel
Home Padel,20 Rue Gutenberg,77100 Meaux,"Sports complex, Padel club, Padel court",Europe/Paris,+33 1 83 88 92 25,"01 83 88 92 25, +33 1 83 88 92 25",Home Padel (Owner),example@gmail.com,instagram: https://www.instagram.com/homepadelmeaux,83,5,https://www.google.com/maps?cid=16277126316535288073,48.9605204,2.9137276,https://www.home-padel.fr/,home-padel.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7GtrdhwpUmMGsmiJVW-qKPUI2ONhzUsrSmDTfloeQhVQwTXiPMGOoNPLyEcQVousuoSnGBfg5tPCJYItiYvhMWEyoAYcLjHXpo6_LLjPEnleU3dhn2w6IQ5paor3zmsL0c2AE,ChIJWdPM-bqh6EcRCZE_HSX44-E,padel
Vuelta Padel,17 All. des Rousselets,77400 Thorigny-sur-Marne,Padel club,Europe/Paris,+33 1 81 22 40 08,"01 81 22 40 08, +33 1 81 22 40 08",Vuelta Padel (Owner),padelloisir77@gmail.com,instagram: https://www.instagram.com/vuelta_padel,15,4.7,https://www.google.com/maps?cid=15546158225091500070,48.8960856,2.7169768,https://vueltapadel.fr/,vueltapadel.fr,https://lh3.googleusercontent.com/p/AF1QipNaotmfRXX-kaazQ2Uy_Tnsu9mmyp4kF6uEddot,ChIJB59q3zEb5kcRJpiY5IkMv9c,padel
2V2 Padel Club,1 Bd du Parisis ZAC des Bois Rochefort,95240 Cormeilles-en-Parisis,Padel club,Europe/Paris,+33 6 87 54 54 78,"06 87 54 54 78, +33 6 87 54 54 78",2V2 Padel Club (Owner),,"facebook: https://www.facebook.com/2v2Padel
instagram: https://www.instagram.com/2v2padelclub",17,4.9,https://www.google.com/maps?cid=4749571423852050869,48.9549688,2.1869589,http://www.2v2padel.com/,2v2padel.com,https://lh3.googleusercontent.com/p/AF1QipPMmTDiHz6YMoiF8qxby35uhBUa9ef8nPuXAf9T,ChIJW6Dwinxh5kcRtTkMsgve6UE,padel
Padel Amigos Club,Rue Rigaud,92200 Neuilly-sur-Seine,Padel club,Europe/Paris,+33 6 00 00 00 00,"06 00 00 00 00, +33 6 00 00 00 00",Padel Amigos Club (Owner),contact@padelamigosclub.com,"instagram: https://www.instagram.com/padelamigos
linkedin: https://www.linkedin.com/company/padel-amigos-club
twitter: https://x.com/padelamigos",6,5,https://www.google.com/maps?cid=11453172321332751338,48.8834433,2.2668979,https://padelamigosclub.com/,padelamigosclub.com,https://lh3.googleusercontent.com/p/AF1QipNQRM0BkE5NZy-kfh9pW-UokcjImfQD8fvl5d59,ChIJozLPIDJl5kcR6utfdIvX8Z4,padel
BADPAD,16 Rue du Dr Jean Charcot,91420 Morangis,Padel club,Europe/Paris,+33 9 61 24 94 86,"09 61 24 94 86, +33 9 61 24 94 86",BADPAD (Owner),contact@badpad.fr,instagram: https://www.instagram.com/badpad_morangis,14,4.9,https://www.google.com/maps?cid=7800517352199912267,48.6943535,2.3377682,https://badpad.fr/,badpad.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4e06T-eXB9xsCXL8yZKpwlPhKOvOAg99XQX177a7gFOVjyE1UWjVzIOdkJGFL_OrSqcpU7StC-S272vNMypXxg0XRVR6AVn2e8U3Ey7FeSqwvtepsUpcP03IotmNBUCfCl1K0JbA4ivqc,ChIJN9TRzgPZ5UcRS3sl8jMBQWw,padel
Espace Padel Argentan,145 rue réage des carrés,61200 Écouché-les-Vallées,Padel club,Europe/Paris,+33 2 33 39 83 35,"02 33 39 83 35, +33 2 33 39 83 35",Espace Padel Argentan (Owner),,"facebook: https://www.facebook.com/people/Espace-Padel-Argentan/61578867887860
instagram: https://www.instagram.com/espacepadelargentan
linkedin: https://www.linkedin.com/company/espace-padel-argentan",7,5,https://www.google.com/maps?cid=16627770435990814826,48.7262309,-0.0537803,https://espace-padel.com/,espace-padel.com,https://lh3.googleusercontent.com/p/AF1QipOw34o135LsgMq1ScMT2x72kDo5hsDTXB3-W_Jr,ChIJIelSj80BCkgRaoD5Ix21weY,padel
Urban Padel - Club de Padel Evry,3 Av. du Bois de l'Épine,91080 Évry-Courcouronnes,"Padel club, Padel court, Sports bar",Europe/Paris,+33 1 74 05 60 80,"01 74 05 60 80, +33 1 74 05 60 80",Urban Padel - Club de Padel Evry (Owner),evry@urbanpadel.fr,"facebook: https://www.facebook.com/UrbanPadel-112095204880843
instagram: https://www.instagram.com/urbanpadelfr",24,4,https://www.google.com/maps?cid=3190362200381910772,48.629018,2.4061598,https://www.urbanpadel.fr/les-centres/evry-courcouronnes/,urbanpadel.fr,https://lh3.googleusercontent.com/p/AF1QipPP0QHXmqMOSaTQJ4Hd8kFzwjMFHU3DsmueioJv,ChIJB0atyQjf5UcR9O6YmoRxRiw,padel
4PADEL Vaires Torcy,Rte de Torcy,77360 Vaires-sur-Marne,"Sports complex, Padel club, Pickleball court, Recreation center, Squash court, Tennis court",Europe/Paris,+33 1 72 84 75 03,"01 72 84 75 03, +33 1 72 84 75 03",4PADEL Vaires Torcy (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",415,4.2,https://www.google.com/maps?cid=13390265348053727703,48.863919,2.6364162,https://4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipNoay4F5kxF6HSlbCFz_47T4UU4pFAlIsRO6NZS,ChIJBdsNo6Ya5kcR1_n2rmPH07k,padel
Urban Padel - Club de Padel Le Mans,27 Av. du Panorama,72100 Le Mans,Padel club,Europe/Paris,+33 2 52 22 02 40,"02 52 22 02 40, +33 2 52 22 02 40",Urban Padel - Club de Padel Le Mans (Owner),lemans@urbanpadel.fr,"facebook: https://www.facebook.com/UrbanPadel-112095204880843
instagram: https://www.instagram.com/urbanpadelfr",8,5,https://www.google.com/maps?cid=1460900243961479686,47.962904,0.2185836,https://www.urbanpadel.fr/les-centres/centre-padel-mans/,urbanpadel.fr,https://lh3.googleusercontent.com/p/AF1QipPLp4kZ3Q0vftLrDEnFLdkIJv4xzXSeB_9oaSL2,ChIJ7UljDaiP4kcRBgKbHQgpRhQ,padel
4PADEL Boulogne-Billancourt,1 Rue Victor Griffuelhes,92100 Boulogne-Billancourt,Padel club,Europe/Paris,+33 1 78 76 44 97,"01 78 76 44 97, +33 1 78 76 44 97",4PADEL Boulogne-Billancourt (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",57,3.2,https://www.google.com/maps?cid=10877469836748427642,48.8299075,2.24208,https://4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipOarcM_VETAzzf5cSlFEjzQhqAuA4AhmwzvKN1P,ChIJv7H9thN75kcRepFqai-J9JY,padel
Mouratoglou Padel - Paris Ouest - Yvelines,2 Rte de Thiverval,78850 Thiverval-Grignon,Padel club,Europe/Paris,+33 1 34 89 38 36,"01 34 89 38 36, +33 1 34 89 38 36",Mouratoglou Padel - Paris Ouest - Yvelines (Owner),accueil@mouratoglou.com,instagram: https://www.instagram.com/liberty.country.club,22,4.4,https://www.google.com/maps?cid=18031525039352010868,48.8384332,1.9113937,https://www.libertycountryclub.fr/raquette/padel/,libertycountryclub.fr,https://lh3.googleusercontent.com/p/AF1QipPgpZE1CX_VO9rA9Hf5KMaFdSjm0hGh_hXVrr7o,ChIJAQDvRH6b5kcRdFgj-XzYPPo,padel
Padel@Le Club le Village,1 Rue Ondine,78180 Montigny-le-Bretonneux,Sports complex,Europe/Paris,,,Padel@Le Club le Village (Owner),,"facebook: https://www.facebook.com/clublevillagemontigny
instagram: https://www.instagram.com/clublevillagemontigny.ucpa",10,3.7,https://www.google.com/maps?cid=3504765441517552503,48.766805,2.026255,https://www.ucpa.com/centres-sportifs/montigny-le-bretonneux-club-le-village/padel,ucpa.com,https://lh3.googleusercontent.com/p/AF1QipN6Ncdy8tgQiEUHvAidCodeVFXGUjDlxvmSHnWF,ChIJd-GDQ0yB5kcRdwO4mpltozA,padel
US Pecq Tennis & Padel,3 Bd de la Libération,78230 Le Pecq,Roller skating club,Europe/Paris,+33 1 39 76 91 14,"01 39 76 91 14, +33 1 39 76 91 14",US Pecq Tennis & Padel (Owner),,,50,4.4,https://www.google.com/maps?cid=15072914279615363736,48.8917022,2.1092207,http://www.club.fft.fr/us.pecq,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyro_oz4CfF_B0HUjntnlxVpJsHNbkNEY9MzfyR9F3zJA6fBE_LnVoFZSN8LIUFapanbD_7Z2PArlQA9IWNLHRv2Ht57jHfWVezTJuP1RlooU9nISC9I7TlYfNvQAQnSvW632MqcA,ChIJU76MGoVi5kcRmPpidq2_LdE,padel
Club Sportif et Artistique Fort du Kremlin Bicêtre,Fort de,94270 Le Kremlin-Bicêtre,"Padel club, Sports club, Tennis club",Europe/Paris,+33 1 86 93 61 32,"01 86 93 61 32, +33 1 86 93 61 32",Club Sportif et Artistique Fort du Kremlin Bicêtre (Owner),,"facebook: https://www.facebook.com/Csafkb-Tennis-1057870840903607
instagram: https://www.instagram.com/csafkb_tennis",2,5,https://www.google.com/maps?cid=141935670359398393,48.806228,2.354684,http://csafkb.e-monsite.com/,csafkb.e-monsite.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxn4L2gB9PfmjgcX3iT0dmnRkNHQVJ92suiN5MOuUXx0sUy3D85PoU9CAOLirwbidJ1z7MBbEO6Z0IeTsZvphGKw0LgwgS82GivoR3741uT3zFBDG5lWziivTxKeH7EnBF_PCimaA,ChIJA2Hu1BVx5kcR-Ze6fL1B-AE,padel
Terrain de PADEL,26-28 Av. Georges Pompidou,92390 Villeneuve-la-Garenne,Padel court,Europe/Paris,,,Terrain de PADEL (Owner),,,1,5,https://www.google.com/maps?cid=12172592550861103493,48.942586,2.324799,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3Q3xD9vGjVp0v3w6LaWDrlvxRetClC7POp9WZJL7zZjPG9qIMqwMeAYNKp_MYN3JaDU1b9aU0wc1z1TS7LDNOSwK6hJmhSh-STmZZjzrh-2tbavj3OlrlwDOF2DYS3WkjEQ2hZyVWf_4,ChIJ0StcdABp5kcRhWGkjW687ag,padel
Sportfield,4 Rue Maurice Bourdet,75016 Paris,"Padel court, Padel club, Sports club, Sports complex",Europe/Paris,,,Sportfield (Owner),"jean.maleyrat@sportfield.fr,contact@sportfield.fr","instagram: https://www.instagram.com/sport__field
linkedin: https://www.linkedin.com/company/87251673
twitter: https://x.com/Sportfieldfr",22,4.2,https://www.google.com/maps?cid=1951972278577852411,48.851219,2.278951,https://www.sportfield.fr/,sportfield.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwP1zhUTURyuTI44XkH9oNRGWdzMXEad1q1KsJy4C-JDTZbhBy8wgNCrkXyLbXvlv5jnjHqeY8TOjHi3L4a5cwf1NKwblSNyQR69eFz83UOKKHPU_pj9rVmivQtRNiJpT5_EKb1w,ChIJ_anqCkRx5kcR--8KBHLMFhs,padel
Let Padel Fleury,20 Rue André Dessaux,45400 Fleury-les-Aubrais,"Padel court, Bar, Fast food restaurant, Tapas bar",Europe/Paris,+33 2 18 69 32 22,"02 18 69 32 22, +33 2 18 69 32 22",Let Padel Fleury (Owner),,,9,4.9,https://www.google.com/maps?cid=1480451763098863888,47.9281944,1.8982341,https://www.letpadel.fr/,letpadel.fr,https://lh3.googleusercontent.com/p/AF1QipOEAGs8VI01k1yoWOlTPWDZ1gHJaQdb5_49JISL,ChIJpVjRjcP75EcREMmb5gifixQ,padel
Padelmax,Rue Marie Curie,60740 Saint-Maximin,Padel court,Europe/Paris,+33 3 44 25 33 94,"03 44 25 33 94, +33 3 44 25 33 94",Padelmax (Owner),,,23,4.9,https://www.google.com/maps?cid=10718184516243936368,49.2388472,2.4577875,https://footmax-saintmaximin.fr/,footmax-saintmaximin.fr,https://lh3.googleusercontent.com/p/AF1QipMXrSZPpPIg0gCX99RsGYoACxTaJ-S2bfSiCCwn,ChIJCTl91b1J5kcRcNTPtwekvpQ,padel
